순번,출원번호
1,1020230171850
2,1020240014135
3,1020220016944
4,1020250159707
5,1020220161550
6,1020230112766
7,1020230077204
8,1020220174910
9,1020230003112
10,1020220174559
11,1020257007575
12,1020247034158
13,1020240144800
14,1020237041295
15,1020237036944
16,1020237014591
17,1020237014593
18,1020240012429
19,1020230174911
20,1020230001542
21,1020230052414
22,1020220072954
23,1020230147105
24,1020230019980
25,1020200136606
26,1020230016018
27,1020257032274
28,1020237027372
29,1020230166023
30,1020240008681
31,1020210168454
32,1020220171135
33,1020230077812
34,1020237038972
35,1020247029948
36,1020230028403
37,1020247022272
38,1020220131928
39,1020250133833
40,1020240000120
41,1020247010133
42,1020200144097
43,1020200144529
44,1020200149628
45,1020247034432
46,1020247024141
47,1020230188214
48,1020237043104
49,1020220146947
50,1020230112588
51,1020210031067
52,1020220045401
53,1020220091480
54,1020230107629
55,1020220061357
56,1020220177568
57,1020227037066
58,1020257009213
59,1020237011638
60,1020220076285
61,1020220177569
62,1020230123703
63,1020250035537
64,1020247029648
65,1020247038765
66,1020240002538
67,1020257021211
68,1020217041568
69,1020220059497
70,1020230033655
71,1020220119602
72,1020247011254
73,1020230054125
74,1020230007136
75,1020227045844
76,1020240065166
77,1020220137505
78,1020210100565
79,1020220134832
80,1020230130903
81,1020240018624
82,1020217025054
83,1020240050178
84,1020230020514
85,1020247013120
86,1020230155140
87,1020227021419
88,1020257030414
89,1020240047575
90,1020237017548
91,1020190055837
92,1020257019800
93,1020240043206
94,1020237034279
95,1020240043185
96,1020240043202
97,1020257031449
98,1020230164556
99,1020240039076
100,1020230161856
101,1020230154175
102,1020230070128
103,1020230018908
104,1020257022620
105,1020257024391
106,1020257008020
107,1020220123449
108,1020257016261
109,1020250011360
110,1020257012221
111,1020257023018
112,1020257009207
113,1020257023334
114,1020257016574
115,1020257000097
116,1020257011564
117,1020257022783
118,1020257008345
119,1020257000088
120,1020247033501
121,1020257013003
122,1020247034166
123,1020247033696
124,1020257012153
125,1020257003053
126,1020247037312
127,1020247034442
128,1020247039163
129,1020247010187
130,1020247038613
131,1020237043571
132,1020237042621
133,1020237045006
134,1020240035165
135,1020237041595
136,1020237038732
137,1020237014677
138,1020237029082
139,1020237014848
140,1020237011335
141,1020227032450
142,1020227013690
143,1020227025051
144,1020227041775
145,1020227038915
146,1020227024466
147,1020247012239
148,1020227010766
149,1020227018145
150,1020227002916
151,1020217040810
152,1020210042228
153,1020217009253
154,1020200095662
155,1020257023469
156,1020257003209
157,1020257001429
158,1020240034179
159,1020237035779
160,1020237009299
161,1020237005219
162,1020230041018
163,1020210147998
164,1020240032925
165,1020230088465
166,1020230043739
167,1020230108326
168,1020230192844
169,1020220025631
170,1020240028668
171,1020240028352
172,1020230194714
173,1020220176922
174,1020230095764
175,1020220169637
176,1020230106754
177,1020220113998
178,1020240015212
179,1020240012749
180,1020240012756
181,1020230075133
182,1020220092029
183,1020240001242
184,1020220141822
185,1020230163014
186,1020250079411
187,1020230196756
188,1020240003598
189,1020230020787
190,1020230180300
191,1020230161587
192,1020230164381
193,1020220071619
194,1020230168947
195,1020230164362
196,1020220089474
197,1020250061983
198,1020227045411
199,1020220004718
200,1020210009177
201,1020230147016
202,1020230152722
203,1020230148622
204,1020230141862
205,1020240067628
206,1020240078785
207,1020230024314
208,1020240089810
209,1020230116488
210,1020230116387
211,1020240193923
212,1020240092894
213,1020200019621
214,1020240201336
215,1020220147526
216,1020230065181
217,1020230059540
218,1020247004854
219,1020240093106
220,1020230119563
221,1020210048514
222,1020230159848
223,1020230059690
224,1020230020287
225,1020230047580
226,1020257030837
227,1020237018753
228,1020227023388
229,1020247023704
230,1020230070974
231,1020257025426
232,1020247008750
233,1020237010755
234,1020230188208
235,1020227018723
236,1020240037476
237,1020257019711
238,1020257006522
239,1020247006828
240,1020237030454
241,1020230167320
242,1020237029433
243,1020257023622
244,1020257019149
245,1020220028776
246,1020227018256
247,1020227007820
248,1020230062109
249,1020237043715
250,1020247033024
251,1020257027562
252,1020257006766
253,1020257008728
